# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	LANGUAGE_FAMILY	COGNACY	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES
8517	MiyakoIrabu	run (v.)	piï	piï	p i ï/ɨ	Japonic	894	894	1 7 7	AXZ	PII	53	53.P.C 53.I.V 53.I.V	2.0 1.5 0.8	piï/ɨ	0
8518	OkinawaShuri	run (v.)	hajuɴ	hajuɴ	h a j u ɴ	Japonic	894	894	3 7 6 7 4	AXBYN	HAJYN	68	68.H.C 68.A.V 68.J.C 68.Y.V 68.N.c	2.0 1.5 1.75 1.3 0.8	hajuɴ	0
8519	OkinawaYonamine	run (v.)	paɴ	paɴ	p a ɴ	Japonic	894	894	1 7 4	AXN	PAN	69	69.P.C 69.A.V 69.N.c	2.0 1.5 0.8	paɴ	0
8520	OldJapanese	run (v.)	pasir-	pasir-	p a s i r	Japonic	894	894	1 7 3 7 5	AXBYN	PASIR	70	70.P.C 70.A.V 70.S.C 70.I.V 70.R.c	2.0 1.5 1.75 1.3 0.8	pasir	0
8521	YaeyamaHatoma	run (v.)	paccaasuɴ, pariparuɴ	paccaasuɴ	p a cc/tsː aː s u ɴ	Japonic	894	894	1 7 1 7 3 7 4	AXBYBYN	PATASYN	98	98.P.C 98.A.V 98.T.C 98.A.V 98.S.C 98.Y.V 98.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	pacc/tsːaːsuɴ	0
8522	MiyakoIrabu	run (v.)	dumifu	dumifu	d u m i f u	Japonic	895	895	1 7 4 7 3 7	AXBYBZ	TYMIBY	53	53.T.C 53.Y.V 53.M.C 53.I.V 53.B.C 53.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	dumifu	0
8523	YaeyamaHatoma	run (v.)	kakiccaasuɴ	kakiccaasuɴ	k a k i cc/tsː aː s u ɴ	Japonic	896	896	1 7 1 7 1 7 3 7 4	AXBYBYBYN	KAKITASYN	98	98.K.C 98.A.V 98.K.C 98.I.V 98.T.C 98.A.V 98.S.C 98.Y.V 98.N.c	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	kakicc/tsːaːsuɴ	0
8524	YaeyamaIshigaki	run (v.)	kakicïki(ru)ɴ	kakicïkiɴ	k a k i c/ts ï/ɨ k i ɴ	Japonic	896	896	1 7 1 7 2 7 1 7 4	AXBYBYBYN	KAKICIKIN	99	99.K.C 99.A.V 99.K.C 99.I.V 99.C.C 99.I.V 99.K.C 99.I.V 99.N.c	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	kakic/tsï/ɨkiɴ	0
8525	Hezhe	run (v.)	bugda-	bugda-	b u g d a	Tungusic	897	897	1 7 1 1 7	AXMBZ	PYKTA	23	23.P.C 23.Y.V 23.K.c 23.T.C 23.A.V	2.0 1.5 1.1 1.75 0.8	bugda	0
8526	KurUrmi	run (v.)	fagdala-	fagdala-	f a g d a l a	Tungusic	897	897	3 7 1 1 7 5 7	AXMBYBZ	BAKTALA	46	46.B.C 46.A.V 46.K.c 46.T.C 46.A.V 46.L.C 46.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	fagdala	0
8527	NanaiBikin	run (v.)	faːgdala-	faːgdala-	f aː g d a l a	Tungusic	897	897	3 7 1 1 7 5 7	AXMBYBZ	BAKTALA	55	55.B.C 55.A.V 55.K.c 55.T.C 55.A.V 55.L.C 55.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	faːgdala	0
8528	Even	run (v.)	tut-	tut-	t u t	Tungusic	898	898	1 7 1	AXN	TYT	16	16.T.C 16.Y.V 16.T.c	2.0 1.5 0.8	tut	0
8529	Gangwon	run (v.)	talumpakcilha-	talumpakcilha-	t a l u m p a k c/ts i l h a	Koreanic	898	898	1 7 5 7 4 1 7 1 2 7 5 3 7	AXBYMBYBCYMBZ	TALYMPAKCILHA	20	20.T.C 20.A.V 20.L.C 20.Y.V 20.M.c 20.P.C 20.A.V 20.K.C 20.C.C 20.I.V 20.L.c 20.H.C 20.A.V	2.0 1.5 1.75 1.3 1.1 1.75 1.3 1.75 1.5 1.3 1.1 1.75 0.8	talumpakc/tsilha	0
8530	Gyeonggi	run (v.)	ttwimpakcil ha-	ttwimpakcil_ha-	tː w i m p a k c/ts i l + h a	Koreanic	898	898	1 6 7 4 1 7 1 2 7 5 9 3 7	ACXMBYBCYN_AX	TWIMPAKCIL_HA	21	21.T.C 21.W.C 21.I.V 21.M.c 21.P.C 21.A.V 21.K.C 21.C.C 21.I.V 21.L.c 21._._ 21.H.C 21.A.V	2.0 1.5 1.5 1.1 1.75 1.3 1.75 1.5 1.3 0.8 0.0 2.0 1.5	tːwimpakc/tsil+ha	0
8531	Hwanghae	run (v.)	talumpakcilha-	talumpakcilha-	t a l u m p a k c/ts i l h a	Koreanic	898	898	1 7 5 7 4 1 7 1 2 7 5 3 7	AXBYMBYBCYMBZ	TALYMPAKCILHA	25	25.T.C 25.A.V 25.L.C 25.Y.V 25.M.c 25.P.C 25.A.V 25.K.C 25.C.C 25.I.V 25.L.c 25.H.C 25.A.V	2.0 1.5 1.75 1.3 1.1 1.75 1.3 1.75 1.5 1.3 1.1 1.75 0.8	talumpakc/tsilha	0
8532	Jeju	run (v.)	telumpakcilha-	telumpakcilha-	t e l u m p a k c/ts i l h a	Koreanic	898	898	1 7 5 7 4 1 7 1 2 7 5 3 7	AXBYMBYBCYMBZ	TELYMPAKCILHA	27	27.T.C 27.E.V 27.L.C 27.Y.V 27.M.c 27.P.C 27.A.V 27.K.C 27.C.C 27.I.V 27.L.c 27.H.C 27.A.V	2.0 1.5 1.75 1.3 1.1 1.75 1.3 1.75 1.5 1.3 1.1 1.75 0.8	telumpakc/tsilha	0
8533	Korean	run (v.)	talli-	talli-	t a lː i	Koreanic	898	898	1 7 5 7	AXBZ	TALI	42	42.T.C 42.A.V 42.L.C 42.I.V	2.0 1.5 1.75 0.8	talːi	0
8534	LateMiddleKorean	run (v.)	tot-	tot-	t o t	Koreanic	898	898	1 7 1	AXN	TUT	47	47.T.C 47.U.V 47.T.c	2.0 1.5 0.8	tot	0
8535	NanaiMiddleAmur	run (v.)	tutu-	tutu-	t u t u	Tungusic	898	898	1 7 1 7	AXBZ	TYTY	56	56.T.C 56.Y.V 56.T.C 56.Y.V	2.0 1.5 1.75 0.8	tutu	0
8536	NorthernChungcheong	run (v.)	talumpakcilha-	talumpakcilha-	t a l u m p a k c/ts i l h a	Koreanic	898	898	1 7 5 7 4 1 7 1 2 7 5 3 7	AXBYMBYBCYMBZ	TALYMPAKCILHA	60	60.T.C 60.A.V 60.L.C 60.Y.V 60.M.c 60.P.C 60.A.V 60.K.C 60.C.C 60.I.V 60.L.c 60.H.C 60.A.V	2.0 1.5 1.75 1.3 1.1 1.75 1.3 1.75 1.5 1.3 1.1 1.75 0.8	talumpakc/tsilha	0
8537	NorthernGyeongsang	run (v.)	ttwuimpakcil-	ttwuimpakcil-	tː w ui m p a k c/ts i l	Koreanic	898	898	1 6 7 4 1 7 1 2 7 5	ACXMBYBCYN	TWYMPAKCIL	63	63.T.C 63.W.C 63.Y.V 63.M.c 63.P.C 63.A.V 63.K.C 63.C.C 63.I.V 63.L.c	2.0 1.5 1.5 1.1 1.75 1.3 1.75 1.5 1.3 0.8	tːwuimpakc/tsil	0
8538	NorthernHamgyong	run (v.)	talumpakcilha-	talumpakcilha-	t a l u m p a k c/ts i l h a	Koreanic	898	898	1 7 5 7 4 1 7 1 2 7 5 3 7	AXBYMBYBCYMBZ	TALYMPAKCILHA	64	64.T.C 64.A.V 64.L.C 64.Y.V 64.M.c 64.P.C 64.A.V 64.K.C 64.C.C 64.I.V 64.L.c 64.H.C 64.A.V	2.0 1.5 1.75 1.3 1.1 1.75 1.3 1.75 1.5 1.3 1.1 1.75 0.8	talumpakc/tsilha	0
8539	NorthernJeolla	run (v.)	talumpakcilha-	talumpakcilha-	t a l u m p a k c/ts i l h a	Koreanic	898	898	1 7 5 7 4 1 7 1 2 7 5 3 7	AXBYMBYBCYMBZ	TALYMPAKCILHA	65	65.T.C 65.A.V 65.L.C 65.Y.V 65.M.c 65.P.C 65.A.V 65.K.C 65.C.C 65.I.V 65.L.c 65.H.C 65.A.V	2.0 1.5 1.75 1.3 1.1 1.75 1.3 1.75 1.5 1.3 1.1 1.75 0.8	talumpakc/tsilha	0
8540	NorthernPyongan	run (v.)	talumpakcilha-	talumpakcilha-	t a l u m p a k c/ts i l h a	Koreanic	898	898	1 7 5 7 4 1 7 1 2 7 5 3 7	AXBYMBYBCYMBZ	TALYMPAKCILHA	66	66.T.C 66.A.V 66.L.C 66.Y.V 66.M.c 66.P.C 66.A.V 66.K.C 66.C.C 66.I.V 66.L.c 66.H.C 66.A.V	2.0 1.5 1.75 1.3 1.1 1.75 1.3 1.75 1.5 1.3 1.1 1.75 0.8	talumpakc/tsilha	0
8541	Oroch	run (v.)	tutu-	tutu-	t u t u	Tungusic	898	898	1 7 1 7	AXBZ	TYTY	72	72.T.C 72.Y.V 72.T.C 72.Y.V	2.0 1.5 1.75 0.8	tutu	0
8542	Solon	run (v.)	tutəli-	tutəli-	t u t ə l i	Tungusic	898	898	1 7 1 7 5 7	AXBYBZ	TYTELI	78	78.T.C 78.Y.V 78.T.C 78.E.V 78.L.C 78.I.V	2.0 1.5 1.75 1.3 1.75 0.8	tutəli	0
8543	SouthernChungcheong	run (v.)	talumpakcilha-	talumpakcilha-	t a l u m p a k c/ts i l h a	Koreanic	898	898	1 7 5 7 4 1 7 1 2 7 5 3 7	AXBYMBYBCYMBZ	TALYMPAKCILHA	80	80.T.C 80.A.V 80.L.C 80.Y.V 80.M.c 80.P.C 80.A.V 80.K.C 80.C.C 80.I.V 80.L.c 80.H.C 80.A.V	2.0 1.5 1.75 1.3 1.1 1.75 1.3 1.75 1.5 1.3 1.1 1.75 0.8	talumpakc/tsilha	0
8544	SouthernGyeongsang	run (v.)	tallamcilha-	tallamcilha-	t a lː a m c/ts i l h a	Koreanic	898	898	1 7 5 7 4 2 7 5 3 7	AXBYMBYMBZ	TALAMCILHA	83	83.T.C 83.A.V 83.L.C 83.A.V 83.M.c 83.C.C 83.I.V 83.L.c 83.H.C 83.A.V	2.0 1.5 1.75 1.3 1.1 1.75 1.3 1.1 1.75 0.8	talːamc/tsilha	0
8545	SouthernHamgyong	run (v.)	talumpakcilha-	talumpakcilha-	t a l u m p a k c/ts i l h a	Koreanic	898	898	1 7 5 7 4 1 7 1 2 7 5 3 7	AXBYMBYBCYMBZ	TALYMPAKCILHA	84	84.T.C 84.A.V 84.L.C 84.Y.V 84.M.c 84.P.C 84.A.V 84.K.C 84.C.C 84.I.V 84.L.c 84.H.C 84.A.V	2.0 1.5 1.75 1.3 1.1 1.75 1.3 1.75 1.5 1.3 1.1 1.75 0.8	talumpakc/tsilha	0
8546	SouthernJeolla	run (v.)	tampakcilha-	tampakcilha-	t a m p a k c/ts i l h a	Koreanic	898	898	1 7 4 1 7 1 2 7 5 3 7	AXMBYBCYMBZ	TAMPAKCILHA	85	85.T.C 85.A.V 85.M.c 85.P.C 85.A.V 85.K.C 85.C.C 85.I.V 85.L.c 85.H.C 85.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.5 1.3 1.1 1.75 0.8	tampakc/tsilha	0
8547	SouthernPyongan	run (v.)	talumpakcilha-	talumpakcilha-	t a l u m p a k c/ts i l h a	Koreanic	898	898	1 7 5 7 4 1 7 1 2 7 5 3 7	AXBYMBYBCYMBZ	TALYMPAKCILHA	86	86.T.C 86.A.V 86.L.C 86.Y.V 86.M.c 86.P.C 86.A.V 86.K.C 86.C.C 86.I.V 86.L.c 86.H.C 86.A.V	2.0 1.5 1.75 1.3 1.1 1.75 1.3 1.75 1.5 1.3 1.1 1.75 0.8	talumpakc/tsilha	0
8548	Ulcha	run (v.)	tutu-	tutu-	t u t u	Tungusic	898	898	1 7 1 7	AXBZ	TYTY	93	93.T.C 93.Y.V 93.T.C 93.Y.V	2.0 1.5 1.75 0.8	tutu	0
8549	EasternEvenki	run (v.)	tuksa-	tuksa-	t u k s a	Tungusic	899	899	1 7 1 3 7	AXBCZ	TYKSA	15	15.T.C 15.Y.V 15.K.C 15.S.C 15.A.V	2.0 1.5 1.75 1.5 0.8	tuksa	0
8550	EvenkiKamnigan	run (v.)	tuksa-	tuksa-	t u k s a	Tungusic	899	899	1 7 1 3 7	AXBCZ	TYKSA	17	17.T.C 17.Y.V 17.K.C 17.S.C 17.A.V	2.0 1.5 1.75 1.5 0.8	tuksa	0
8551	Negidal	run (v.)	toksa-	toksa-	t o k s a	Tungusic	899	899	1 7 1 3 7	AXBCZ	TUKSA	57	57.T.C 57.U.V 57.K.C 57.S.C 57.A.V	2.0 1.5 1.75 1.5 0.8	toksa	0
8552	NorthernEvenkiTura	run (v.)	tuksa-	tuksa-	t u k s a	Tungusic	899	899	1 7 1 3 7	AXBCZ	TYKSA	61	61.T.C 61.Y.V 61.K.C 61.S.C 61.A.V	2.0 1.5 1.75 1.5 0.8	tuksa	0
8553	NorthernEvenkiTutonchany	run (v.)	tuhsa-	tuhsa-	t u h s a	Tungusic	899	899	1 7 3 3 7	AXMBZ	TYHSA	62	62.T.C 62.Y.V 62.H.c 62.S.C 62.A.V	2.0 1.5 1.1 1.75 0.8	tuhsa	0
8554	Orok	run (v.)	tuksa-	tuksa-	t u k s a	Tungusic	899	899	1 7 1 3 7	AXBCZ	TYKSA	73	73.T.C 73.Y.V 73.K.C 73.S.C 73.A.V	2.0 1.5 1.75 1.5 0.8	tuksa	0
8555	Oroqen	run (v.)	tụkša-	tụkša-	t ụ/u k š/ʃ a	Tungusic	899	899	1 7 1 3 7	AXBCZ	TYKSA	74	74.T.C 74.Y.V 74.K.C 74.S.C 74.A.V	2.0 1.5 1.75 1.5 0.8	tụ/ukš/ʃa	0
8556	SouthernEvenkiChiringda	run (v.)	tuksaːn	tuksaːn	t u k s aː n	Tungusic	899	899	1 7 1 3 7 4	AXBCYN	TYKSAN	81	81.T.C 81.Y.V 81.K.C 81.S.C 81.A.V 81.N.c	2.0 1.5 1.75 1.5 1.3 0.8	tuksaːn	0
8557	StonyEvenkiPTPodkamennayaTunguska	run (v.)	tuksa-	tuksa-	t u k s a	Tungusic	899	899	1 7 1 3 7	AXBCZ	TYKSA	87	87.T.C 87.Y.V 87.K.C 87.S.C 87.A.V	2.0 1.5 1.75 1.5 0.8	tuksa	0
8558	Udihe	run (v.)	tukä-	tukä-	t u k ä/æ	Tungusic	899	899	1 7 1 7	AXBZ	TYKE	92	92.T.C 92.Y.V 92.K.C 92.E.V	2.0 1.5 1.75 0.8	tukä/æ	0
8559	Manchu	run (v.)	suʤu-	suʤu-	s u dʒ u	Tungusic	900	900	3 7 1 7	AXBZ	SYTY	48	48.S.C 48.Y.V 48.T.C 48.Y.V	2.0 1.5 1.75 0.8	sudʒu	0
8560	Xibe	run (v.)	fəxsi-	fəxsi-	f ə x s i	Tungusic	901	901	3 7 3 3 7	AXMBZ	BEGSI	97	97.B.C 97.E.V 97.G.c 97.S.C 97.I.V	2.0 1.5 1.1 1.75 0.8	fəxsi	0
8561	Buriat	run (v.)	güy-	güy-	g ü/y y/j	Mongolic	902	902	1 7 6	AXN	KYJ	8	8.K.C 8.Y.V 8.J.c	2.0 1.5 0.8	gü/yy/j	1
8562	Dagur	run (v.)	guy-	guy-	g uy/ui	Mongolic	902	902	1 7	AX	KY	12	12.K.C 12.Y.V	2.0 1.5	guy/ui	0
8563	Huzhu	run (v.)	guai, gui	guai	g u/w ai	Mongolic	902	902	1 6 7	ACX	KWA	24	24.K.C 24.W.C 24.A.V	2.0 1.5 1.5	gu/wai	0
8564	Kalmyck	run (v.)	gü:-	gü:-	g üː/yː	Mongolic	902	902	1 7	AX	KY	30	30.K.C 30.Y.V	2.0 1.5	güː/yː	0
8565	Kamnigan	run (v.)	güy-	güy-	g ü/y y/j	Mongolic	902	902	1 7 6	AXN	KYJ	31	31.K.C 31.Y.V 31.J.c	2.0 1.5 0.8	gü/yy/j	0
8566	Kangjia	run (v.)	gui	gui	g ui	Mongolic	902	902	1 7	AX	KY	32	32.K.C 32.Y.V	2.0 1.5	gui	0
8567	Khalkha	run (v.)	güy-	güy-	g ü/y y/j	Mongolic	902	902	1 7 6	AXN	KYJ	40	40.K.C 40.Y.V 40.J.c	2.0 1.5 0.8	gü/yy/j	1
8568	MiddleMongolianMuqaddimataladab	run (v.)	güi-	güi-	g ü/y i	Mongolic	902	902	1 7 7	AXZ	KYI	50	50.K.C 50.Y.V 50.I.V	2.0 1.5 0.8	gü/yi	0
8569	MiddleMongolianSecretHistory	run (v.)	guiyi-	guiyi-	g ui y/j i	Mongolic	902	902	1 7 6 7	AXBZ	KYJI	51	51.K.C 51.Y.V 51.J.C 51.I.V	2.0 1.5 1.75 0.8	guiy/ji	0
8570	Minhe	run (v.)	gui	gui	g ui	Mongolic	902	902	1 7	AX	KY	52	52.K.C 52.Y.V	2.0 1.5	gui	0
8571	Moghol	run (v.)	gʉi:-	gʉi:-	g ʉiː	Mongolic	902	902	1 7	AX	KY	54	54.K.C 54.Y.V	2.0 1.5	gʉiː	0
8572	Oirat	run (v.)	gü:-	gü:-	g üː/yː	Mongolic	902	902	1 7	AX	KY	67	67.K.C 67.Y.V	2.0 1.5	güː/yː	0
8573	Baoan	run (v.)	xolə	xolə	x o l ə	Mongolic	903	903	3 7 5 7	AXBZ	GULE	5	5.G.C 5.U.V 5.L.C 5.E.V	2.0 1.5 1.75 0.8	xolə	0
8574	Dongxian	run (v.)	xolu	xolu	x o l u	Mongolic	903	903	3 7 5 7	AXBZ	GULY	14	14.G.C 14.U.V 14.L.C 14.Y.V	2.0 1.5 1.75 0.8	xolu	0
8575	Kangjia	run (v.)	hɔr, hur	hɔr	h ɔ r	Mongolic	903	903	3 7 5	AXN	HUR	32	32.H.C 32.U.V 32.R.c	2.0 1.5 0.8	hɔr	0
8576	ShiraYughur	run (v.)	ʃgur	ʃgur	ʃ g u r	Mongolic	903	903	3 1 7 5	ACYN	SKYR	76	76.S.C 76.K.C 76.Y.V 76.R.c	2.0 1.5 1.3 0.8	ʃgur	0
8577	Chuvash	run (v.)	čup	čup	č/tʃ u p	Turkic	904	904	1 7 1	AXN	TYP	9	9.T.C 9.Y.V 9.P.c	2.0 1.5 0.8	č/tʃup	0
8578	CrimeanTatar	run (v.)	čap	čap	č/tʃ a p	Turkic	904	904	1 7 1	AXN	TAP	11	11.T.C 11.A.V 11.P.c	2.0 1.5 0.8	č/tʃap	0
8579	KarachayBalkar	run (v.)	čap	čap	č/tʃ a p	Turkic	904	904	1 7 1	AXN	TAP	33	33.T.C 33.A.V 33.P.c	2.0 1.5 0.8	č/tʃap	0
8580	Karaim	run (v.)	? čap	?_čap	č/tʃ a p	Turkic	904	904	1 7 1	AXN	TAP	34	34.T.C 34.A.V 34.P.c	2.0 1.5 0.8	č/tʃap	1
8581	Kumyk	run (v.)	čap	čap	č/tʃ a p	Turkic	904	904	1 7 1	AXN	TAP	45	45.T.C 45.A.V 45.P.c	2.0 1.5 0.8	č/tʃap	0
8582	Nogai	run (v.)	šap	šap	š/ʃ a p	Turkic	904	904	3 7 1	AXN	SAP	58	58.S.C 58.A.V 58.P.c	2.0 1.5 0.8	š/ʃap	0
8583	Uyghur	run (v.)	čap	čap	č/tʃ a p	Turkic	904	904	1 7 1	AXN	TAP	94	94.T.C 94.A.V 94.P.c	2.0 1.5 0.8	č/tʃap	0
8584	Uzbek	run (v.)	čɔp	čɔp	č/tʃ ɔ p	Turkic	904	904	1 7 1	AXN	TUP	95	95.T.C 95.U.V 95.P.c	2.0 1.5 0.8	č/tʃɔp	0
8585	BarabaTatar	run (v.)	yögir-	yögir-	y/j ö/œ g i r	Turkic	905	905	6 7 1 7 5	AXBYN	JUKIR	6	6.J.C 6.U.V 6.K.C 6.I.V 6.R.c	2.0 1.5 1.75 1.3 0.8	y/jö/œgir	0
8586	Bashkir	run (v.)	yüger	yüger	y/j ü/y g e r	Turkic	905	905	6 7 1 7 5	AXBYN	JYKER	7	7.J.C 7.Y.V 7.K.C 7.E.V 7.R.c	2.0 1.5 1.75 1.3 0.8	y/jü/yger	0
8587	CodexCumanicus	run (v.)	yugur-	yugur-	y/j u g u r	Turkic	905	905	6 7 1 7 5	AXBYN	JYKYR	10	10.J.C 10.Y.V 10.K.C 10.Y.V 10.R.c	2.0 1.5 1.75 1.3 0.8	y/jugur	0
8588	Dolgan	run (v.)	hüür	hüür	h üü/yː r	Turkic	905	905	3 7 5	AXN	HYR	13	13.H.C 13.Y.V 13.R.c	2.0 1.5 0.8	hüü/yːr	0
8589	Kangjia	run (v.)	zɯkəre bor	zɯkəre_bor	z ɯ k ə r e + b o r	Mongolic	905	905	3 7 1 7 5 7 9 1 7 5	AXBYBZ_AXN	SIKERE_PUR	32	32.S.C 32.I.V 32.K.C 32.E.V 32.R.C 32.E.V 32._._ 32.P.C 32.U.V 32.R.c	2.0 1.5 1.75 1.3 1.75 0.8 0.0 2.0 1.5 0.8	zɯkəre+bor	0
8590	Karaim	run (v.)	yuvur	yuvur	y/j u v u r	Turkic	905	905	6 7 3 7 5	AXBYN	JYBYR	34	34.J.C 34.Y.V 34.B.C 34.Y.V 34.R.c	2.0 1.5 1.75 1.3 0.8	y/juvur	0
8591	KaraKalpak	run (v.)	žuwïr	žuwïr	ž/ʒ u w ï/ɨ r	Turkic	905	905	3 7 6 7 5	AXBYN	SYWIR	35	35.S.C 35.Y.V 35.W.C 35.I.V 35.R.c	2.0 1.5 1.75 1.3 0.8	ž/ʒuwï/ɨr	0
8592	Kazakh	run (v.)	žügĭr	žügĭr	ž/ʒ ü/y g ĭ/i r	Turkic	905	905	3 7 1 7 5	AXBYN	SYKIR	36	36.S.C 36.Y.V 36.K.C 36.I.V 36.R.c	2.0 1.5 1.75 1.3 0.8	ž/ʒü/ygĭ/ir	0
8593	KazanTatar	run (v.)	yöger	yöger	y/j ö/œ g e r	Turkic	905	905	6 7 1 7 5	AXBYN	JUKER	37	37.J.C 37.U.V 37.K.C 37.E.V 37.R.c	2.0 1.5 1.75 1.3 0.8	y/jö/œger	0
8594	Khakas	run (v.)	čügür	čügür	č/tʃ ü/y g ü/y r	Turkic	905	905	1 7 1 7 5	AXBYN	TYKYR	38	38.T.C 38.Y.V 38.K.C 38.Y.V 38.R.c	2.0 1.5 1.75 1.3 0.8	č/tʃü/ygü/yr	0
8595	Khalaj	run (v.)	yi:ir	yi:ir	y/j iː i r	Turkic	905	905	6 7 7 5	AXYN	JIIR	39	39.J.C 39.I.V 39.I.V 39.R.c	2.0 1.5 1.3 0.8	y/jiːir	0
8596	Kirghiz	run (v.)	ǰügür	ǰügür	ǰ/dʒ ü/y g ü/y r	Turkic	905	905	1 7 1 7 5	AXBYN	TYKYR	41	41.T.C 41.Y.V 41.K.C 41.Y.V 41.R.c	2.0 1.5 1.75 1.3 0.8	ǰ/dʒü/ygü/yr	0
8597	MiddleChulym	run (v.)	čügür	čügür	č/tʃ ü/y g ü/y r	Turkic	905	905	1 7 1 7 5	AXBYN	TYKYR	49	49.T.C 49.Y.V 49.K.C 49.Y.V 49.R.c	2.0 1.5 1.75 1.3 0.8	č/tʃü/ygü/yr	0
8598	Nogai	run (v.)	yuwïr	yuwïr	y/j u w ï/ɨ r	Turkic	905	905	6 7 6 7 5	AXBYN	JYWIR	58	58.J.C 58.Y.V 58.W.C 58.I.V 58.R.c	2.0 1.5 1.75 1.3 0.8	y/juwï/ɨr	0
8599	NorthAltai	run (v.)	t́ügür-	t́ügür-	t́/t ü/y g ü/y r	Turkic	905	905	1 7 1 7 5	AXBYN	TYKYR	59	59.T.C 59.Y.V 59.K.C 59.Y.V 59.R.c	2.0 1.5 1.75 1.3 0.8	t́/tü/ygü/yr	0
8600	OldTurkic	run (v.)	yügür	yügür	y/j ü/y g ü/y r	Turkic	905	905	6 7 1 7 5	AXBYN	JYKYR	71	71.J.C 71.Y.V 71.K.C 71.Y.V 71.R.c	2.0 1.5 1.75 1.3 0.8	y/jü/ygü/yr	0
8601	Salar	run (v.)	žükür, yükür	žükür	ž/ʒ ü/y k ü/y r	Turkic	905	905	3 7 1 7 5	AXBYN	SYKYR	75	75.S.C 75.Y.V 75.K.C 75.Y.V 75.R.c	2.0 1.5 1.75 1.3 0.8	ž/ʒü/ykü/yr	0
8602	Shor	run (v.)	čügür	čügür	č/tʃ ü/y g ü/y r	Turkic	905	905	1 7 1 7 5	AXBYN	TYKYR	77	77.T.C 77.Y.V 77.K.C 77.Y.V 77.R.c	2.0 1.5 1.75 1.3 0.8	č/tʃü/ygü/yr	0
8603	SouthAltai	run (v.)	d'ügür	d'ügür	d ü/y g ü/y r	Turkic	905	905	1 7 1 7 5	AXBYN	TYKYR	79	79.T.C 79.Y.V 79.K.C 79.Y.V 79.R.c	2.0 1.5 1.75 1.3 0.8	dü/ygü/yr	0
8604	Uyghur	run (v.)	žügrä	žügrä	ž/ʒ ü/y g r ä/æ	Turkic	905	905	3 7 1 5 7	AXBCZ	SYKRE	94	94.S.C 94.Y.V 94.K.C 94.R.C 94.E.V	2.0 1.5 1.75 1.5 0.8	ž/ʒü/ygrä/æ	0
8605	Yakut	run (v.)	sü:r	sü:r	s üː/yː r	Turkic	905	905	3 7 5	AXN	SYR	100	100.S.C 100.Y.V 100.R.c	2.0 1.5 0.8	süː/yːr	0
8606	Azeri	run (v.)	ġač	ġač	ɢ a č/tʃ	Turkic	906	906	1 7 1	AXN	KAT	4	4.K.C 4.A.V 4.T.c	2.0 1.5 0.8	ɢač/tʃ	0
8607	Gagauz	run (v.)	kač	kač	k a č/tʃ	Turkic	906	906	1 7 1	AXN	KAT	19	19.K.C 19.A.V 19.T.c	2.0 1.5 0.8	kač/tʃ	0
8608	WestYugur	run (v.)	ḳayla	ḳayla	ḳ/q ay/ai l a	Turkic	907	907	1 7 5 7	AXBZ	KALA	96	96.K.C 96.A.V 96.L.C 96.A.V	2.0 1.5 1.75 0.8	ḳ/qay/aila	0
8609	Tofa	run (v.)	sun	sun	s u n	Turkic	908	908	3 7 4	AXN	SYN	88	88.S.C 88.Y.V 88.N.c	2.0 1.5 0.8	sun	0
8610	Turkmen	run (v.)	ïlɣa	ïlɣa	ï/ɨ l ɣ a	Turkic	909	909	7 5 3 7	XMBZ	ILGA	90	90.I.V 90.L.c 90.G.C 90.A.V	1.5 1.1 1.75 0.8	ï/ɨlɣa	0
8611	Turkish	run (v.)	koš	koš	k o š/ʃ	Turkic	910	910	1 7 3	AXN	KUS	89	89.K.C 89.U.V 89.S.c	2.0 1.5 0.8	koš/ʃ	0
8612	Tuvan	run (v.)	maŋna	maŋna	m a ŋ n a	Turkic	911	911	4 7 4 4 7	AXMBZ	MANNA	91	91.M.C 91.A.V 91.N.c 91.N.C 91.A.V	2.0 1.5 1.1 1.75 0.8	maŋna	0
#
9908	Fukuoka	salt (n.)	ɕiwo	ɕiwo	ɕ i w o	Japonic	1067	1067	3 7 6 7	AXBZ	SIWU	18	18.S.C 18.I.V 18.W.C 18.U.V	2.0 1.5 1.75 0.8	ɕiwo	0
9909	Hachijo	salt (n.)	ɕio	ɕio	ɕ i/j o	Japonic	1067	1067	3 6 7	ACX	SJU	22	22.S.C 22.J.C 22.U.V	2.0 1.5 1.5	ɕi/jo	0
9910	Japanese	salt (n.)	sio	sio	s i/j o	Japonic	1067	1067	3 6 7	ACX	SJU	26	26.S.C 26.J.C 26.U.V	2.0 1.5 1.5	si/jo	0
